Title_GEO,Title_ENG,Year,Image_URL
სასტუმრო ბელგრადი,Hotel Belgrade (Отель «Белград»),2020,https://geo.saitebi.ge/web/ka/img/movies/8160/180x265/Hotel%Belgrade%(Отель%«Белград»).jpg
დიდი თეთრი ზვიგენები,Great White,2021,https://geo.saitebi.ge/web/ka/img/movies/8152/180x265/Great%White.jpg
საზღვაო ქვეითები 2: ბრძოლის ველი,Jarhead 2: Field of Fire,2014,https://geo.saitebi.ge/web/ka/img/movies/8148/180x265/Jarhead%2:%Field%of%Fire.jpg
გრძელი უიკენდი,Long Weekend,2021,https://geo.saitebi.ge/web/ka/img/movies/8163/180x265/Long%Weekend.jpg
ჩემპიონად დაბადებული,Born a Champion,2021,https://geo.saitebi.ge/web/ka/img/movies/8147/180x265/Born%a%Champion.jpg
ღამის დასასრულს,By Night's End,2020,https://geo.saitebi.ge/web/ka/img/movies/8151/180x265/By%Night's%End.jpg
ბიძია ფრენკი,Uncle Frank,2020,https://geo.saitebi.ge/web/ka/img/movies/8168/180x265/Uncle%Frank.jpg
საზაფხულო ბანაკი,A Week Away,2021,https://geo.saitebi.ge/web/ka/img/movies/8156/180x265/A%Week%Away.jpg
ბუს ძახილი,Hoot,2006,https://geo.saitebi.ge/web/ka/img/movies/8153/180x265/Hoot.jpg
ბელი,Belle,2013,https://geo.saitebi.ge/web/ka/img/movies/8158/180x265/Belle.jpg
ნახევარი,The Half of It,2020,https://geo.saitebi.ge/web/ka/img/movies/8164/180x265/The%Half%of%It.jpg
Შავი სილამაზე,Black Beauty,2020,https://geo.saitebi.ge/web/ka/img/movies/8145/180x265/Black%Beauty.jpg
"იუდა და ""შავი მესია“",Judas and the Black Messiah,2021,https://geo.saitebi.ge/web/ka/img/movies/8149/180x265/Judas%and%the%Black%Messiah.jpg
პელე,Pelé,2021,https://geo.saitebi.ge/web/ka/img/movies/8155/180x265/Pelé.jpg
მის ბალა,Miss Bala,2019,https://geo.saitebi.ge/web/ka/img/movies/8142/180x265/Miss%Bala.jpg
ფრედერიკ ფიტცელის განათლება,Flashback (The Education of Fredrick Fitzell),2021,https://geo.saitebi.ge/web/ka/img/movies/8138/180x265/Flashback%(The%Education%of%Fredrick%Fitzell).jpg
მამა,The Father,2020,https://geo.saitebi.ge/web/ka/img/movies/8144/180x265/The%Father.jpg
